author_id,work_id,seq,latin_name,greek_name,latin_title,greek_title,english_title,cts_urn,cts_confirmed,exportable
0007,013,13,Plutarchus,Πλούταρχος,Fabius Maximus,Φάβιος Μάξιμος,Fabius Maximus,urn:cts:greekLit:tlg0007.tlg013,1,1
0007,014,14,Plutarchus,Πλούταρχος,Comparison of Pericles and Fabius Maximus,Περικλέους καὶ Φαβίου σύγκρισις,Comparison of Pericles and Fabius Maximus,urn:cts:greekLit:tlg0007.tlg014,1,1
0007,015,15,Plutarchus,Πλούταρχος,Alcibiades,Ἀλκιβιάδης,Alcibiades,urn:cts:greekLit:tlg0007.tlg015,1,1
0007,016,16,Plutarchus,Πλούταρχος,Caius Marcius Coriolanus,Γάϊος Μάρκιος,Caius Marcius Coriolanus,urn:cts:greekLit:tlg0007.tlg016,1,1
0007,017,17,Plutarchus,Πλούταρχος,Comparison of Alcibiades and Coriolanus,Ἀλκιβιάδου καὶ Κοριολὰνου σύγκρισις,Comparison of Alcibiades and Coriolanus,urn:cts:greekLit:tlg0007.tlg017,1,1
0007,018,18,Plutarchus,Πλούταρχος,Timoleon,,Timoleon,urn:cts:greekLit:tlg0007.tlg018,1,1
0007,019,19,Plutarchus,Πλούταρχος,Aemilius Paullus,,Aemilius Paulus,urn:cts:greekLit:tlg0007.tlg019,1,1
0007,020,20,Plutarchus,Πλούταρχος,Comparison of Timoleon and Aemilius,,Comparison of Timoleon and Aemilius,urn:cts:greekLit:tlg0007.tlg020,1,1
0007,021,21,Plutarchus,Πλούταρχος,Pelopidas,Πελοπίδας,Pelopidas,urn:cts:greekLit:tlg0007.tlg021,1,1
0007,022,22,Plutarchus,Πλούταρχος,Marcellus,Μάρκελλος,Marcellus,urn:cts:greekLit:tlg0007.tlg022,1,1
0007,023,23,Plutarchus,Πλούταρχος,Comparison of Pelopidas and Marcellus,Πελοπίδου καὶ Μαρκέλλου σύγκρισις,Comparison of Pelopidas and Marcellus,urn:cts:greekLit:tlg0007.tlg023,1,1
0007,024,24,Plutarchus,Πλούταρχος,Aristeides,Ἀριστείδης,Aristides,urn:cts:greekLit:tlg0007.tlg024,1,1
0007,025,25,Plutarchus,Πλούταρχος,Marcus Cato,Μάρκος Κάτων,Marcus Cato,urn:cts:greekLit:tlg0007.tlg025,1,1
0007,026,26,Plutarchus,Πλούταρχος,Comparison of Aristides with Marcus Cato,Ἀριστείδου καὶ Κάτωνος σύγκρισις,Comparison of Aristides and Marcus Cato,urn:cts:greekLit:tlg0007.tlg026,1,1
0007,027,27,Plutarchus,Πλούταρχος,Philopoemen,,Philopoemen,urn:cts:greekLit:tlg0007.tlg027,1,1
0007,028,28,Plutarchus,Πλούταρχος,Titus Flamininus,,Titus Flamininus,urn:cts:greekLit:tlg0007.tlg028,1,1
0007,029,29,Plutarchus,Πλούταρχος,Comparison of Philopoemen and Titus,,Comparison of Philopoemen and Titus,urn:cts:greekLit:tlg0007.tlg029,1,1
0007,030,30,Plutarchus,Πλούταρχος,Pyrrhus,,Pyrrhus,urn:cts:greekLit:tlg0007.tlg030,1,1
0007,031,31,Plutarchus,Πλούταρχος,Caius Marius,,Caius Marius,urn:cts:greekLit:tlg0007.tlg031,1,1
0007,032,32,Plutarchus,Πλούταρχος,Lysander,Λύσανδρος,Lysander,urn:cts:greekLit:tlg0007.tlg032,1,1
0007,033,33,Plutarchus,Πλούταρχος,Sulla,Σύλλας,Sulla,urn:cts:greekLit:tlg0007.tlg033,1,1
0007,034,34,Plutarchus,Πλούταρχος,Comparison of Lysander and Sulla,Σύγκρισις Λυσάνδρου καὶ Σύλλα,Comparison of Lysander and Sulla,urn:cts:greekLit:tlg0007.tlg034,1,1
0007,035,35,Plutarchus,Πλούταρχος,Cimon,Κίμων,Cimon,urn:cts:greekLit:tlg0007.tlg035,1,1
0007,036,36,Plutarchus,Πλούταρχος,Lucullus,Λούκουλλος,Lucullus,urn:cts:greekLit:tlg0007.tlg036,1,1
0007,037,37,Plutarchus,Πλούταρχος,Comparison of Lucullus and Cimon,Κίμωνος καὶ Λουκούλλος σύγκρισις,Comparison of Lucullus and Cimon,urn:cts:greekLit:tlg0007.tlg037,1,1
0007,038,38,Plutarchus,Πλούταρχος,Nicias,Νικίας,Nicias,urn:cts:greekLit:tlg0007.tlg038,1,1
0007,039,39,Plutarchus,Πλούταρχος,Crassus,Κράσσος,Crassus,urn:cts:greekLit:tlg0007.tlg039,1,1
0007,040,40,Plutarchus,Πλούταρχος,Comparison of Nicias and Crassus,Νικίου καὶ Κράσσου σύγκρισις,Comparison of Nicias and Crassus,urn:cts:greekLit:tlg0007.tlg040,1,1
0007,041,41,Plutarchus,Πλούταρχος,Eumenes,,Eumenes,urn:cts:greekLit:tlg0007.tlg041,1,1
0007,042,42,Plutarchus,Πλούταρχος,Sertorius,,Sertorius,urn:cts:greekLit:tlg0007.tlg042,1,1
0007,043,43,Plutarchus,Πλούταρχος,Comparison of Sertorius and Eumenes,,Comparison of Sertorius and Eumenes,urn:cts:greekLit:tlg0007.tlg043,1,1
0007,044,44,Plutarchus,Πλούταρχος,Agesilaus,Ἀγησίλαος,Agesilaus,urn:cts:greekLit:tlg0007.tlg044,1,1
0007,045,45,Plutarchus,Πλούταρχος,Pompey,Πομπήϊος,Pompey,urn:cts:greekLit:tlg0007.tlg045,1,1
0007,046,46,Plutarchus,Πλούταρχος,Comparison of Agesilaus and Pompey,Ἀγησιλάου καὶ Πομπηΐου σύγκρισις,Comparison of Agesilaus and Pompey,urn:cts:greekLit:tlg0007.tlg046,1,1
