author_id,author_name_latin,author_name_greek,author_name_english,epitheton,era,source,work_id,title_latin,title_english,title_greek,cts_urn,cts_confirmed
3296,THEODOSIUS Dyrrhachiensis,,Theodosius Dyrrhachiensis,Theol.,,tlg:post-e;bcdavasconcelos,001,Opus alphabeticum de eutaxia,,,urn:cts:greekLit:tlg3296.tlg001,False
3297,HERON Byzantius,,Heron Byzantius Tact.,Tact.,,tlg:post-e;bcdavasconcelos;wikidata,001,De strategematibus,,,urn:cts:greekLit:tlg3297.tlg001,False
3297,HERON Byzantius,,Heron Byzantius Tact.,Tact.,,tlg:post-e;bcdavasconcelos;wikidata,003,Γεωδαισία,,,urn:cts:greekLit:tlg3297.tlg003,False
3298,PHILAGATHUS,,Philagathus,Scr. Eccl.,11th–12th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,Homiliae,,,urn:cts:greekLit:tlg3298.tlg001,False
3298,PHILAGATHUS,,Philagathus,Scr. Eccl.,11th–12th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,002,Homiliae tres,,,urn:cts:greekLit:tlg3298.tlg002,False
3298,PHILAGATHUS,,Philagathus,Scr. Eccl.,11th–12th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,003,Ὁμιλία περί τῶν εἰκόνων,,,urn:cts:greekLit:tlg3298.tlg003,False
3298,PHILAGATHUS,,Philagathus,Scr. Eccl.,11th–12th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,004,Homiliae duae,,,urn:cts:greekLit:tlg3298.tlg004,False
3298,PHILAGATHUS,,Philagathus,Scr. Eccl.,11th–12th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,005,"Homiliae in evangelia dominicalia, et festa totius anni",,,urn:cts:greekLit:tlg3298.tlg005,False
3299,Michael PANARETUS,,Michael Panaretus,Hist.,14th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,Chronica de imperatoribus Comnenis,,,urn:cts:greekLit:tlg3299.tlg001,False
3300,Isaac COMNENUS PORPHYROGENETUS,,Isaac Comnenus Porphyrogenetus,Scr. Eccl.,,tlg:post-e;bcdavasconcelos,001,Typicon monasterii Theotoci Cosmosoteirae,,,urn:cts:greekLit:tlg3300.tlg001,False
3301,ANONYMUS DE OBSIDIONE TOLERANDA,,Anonymus De Obsidione Toleranda,,,tlg:post-e;bcdavasconcelos,001,De obsidione toleranda,,,urn:cts:greekLit:tlg3301.tlg001,False
3302,Joannes Ryndacenos LASCARIS Philol.,,Joannes Ryndacenos Lascaris,,,tlg:post-e;bcdavasconcelos,001,Epistula ad Sergium Stissum,,,urn:cts:greekLit:tlg3302.tlg001,False
3302,Joannes Ryndacenos LASCARIS Philol.,,Joannes Ryndacenos Lascaris,,,tlg:post-e;bcdavasconcelos,003,Epigrammata,,,urn:cts:greekLit:tlg3302.tlg003,False
3303,Manuel ADRAMYTTENUS,,Manuel Adramyttenus,Rhet.,15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,Epistulae,,,urn:cts:greekLit:tlg3303.tlg001,False
3303,Manuel ADRAMYTTENUS,,Manuel Adramyttenus,Rhet.,15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,002,Epigramma ad Hieronymum Castellum e Latino in Graecum conversum,,,urn:cts:greekLit:tlg3303.tlg002,False
3304,Sergius STISSUS,,Sergius Stissus,,15th–16th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,Epistula ad Joannem Lascarim,,,urn:cts:greekLit:tlg3304.tlg001,False
3305,Lucas NOTARAS,,Lucas Notaras,Epist.,,tlg:post-e;bcdavasconcelos,001,Epistulae,,,urn:cts:greekLit:tlg3305.tlg001,False
3306,Georgius CANTACUZENUS PALAEOLOGUS,,Georgius Cantacuzenus Palaeologus,Rhet.,,tlg:post-e;bcdavasconcelos,001,Epistula ad Constantinum Palaeologum qui missus est in Ragusam,,,urn:cts:greekLit:tlg3306.tlg001,False
3307,Charitonymus HERMONYMUS,,Charitonymus Hermonymus,Rhet.,,tlg:post-e;bcdavasconcelos,001,Epitaphius ad Catharinam Palaeologinam,,,urn:cts:greekLit:tlg3307.tlg001,False
3307,Charitonymus HERMONYMUS,,Charitonymus Hermonymus,Rhet.,,tlg:post-e;bcdavasconcelos,002,Prosphonema ad papam Paulum II pro despota Andrea Palaeologo,,,urn:cts:greekLit:tlg3307.tlg002,False
3307,Charitonymus HERMONYMUS,,Charitonymus Hermonymus,Rhet.,,tlg:post-e;bcdavasconcelos,003,Prosphonema ad cardinalem et patriarchum Bessarionem pro despota Andrea Palaeologo,,,urn:cts:greekLit:tlg3307.tlg003,False
3307,Charitonymus HERMONYMUS,,Charitonymus Hermonymus,Rhet.,,tlg:post-e;bcdavasconcelos,004,Prosphonema ad patrem despotam pro Andrea et Manuele Palaeologo,,,urn:cts:greekLit:tlg3307.tlg004,False
3307,Charitonymus HERMONYMUS,,Charitonymus Hermonymus,Rhet.,,tlg:post-e;bcdavasconcelos,005,Prosphonema ad papam Romae pro Manuele Palaeologo,,,urn:cts:greekLit:tlg3307.tlg005,False
3307,Charitonymus HERMONYMUS,,Charitonymus Hermonymus,Rhet.,,tlg:post-e;bcdavasconcelos,006,Encomium Plethonis,,,urn:cts:greekLit:tlg3307.tlg006,False
3307,Charitonymus HERMONYMUS,,Charitonymus Hermonymus,Rhet.,,tlg:post-e;bcdavasconcelos,007,Capita de divinitate Christi,,,urn:cts:greekLit:tlg3307.tlg007,False
3308,Nicephorus CHEILAS,,Nicephorus Cheilas,Rhet.,,tlg:post-e;bcdavasconcelos,001,Monodia in Cleopam Palaeologinam,,,urn:cts:greekLit:tlg3308.tlg001,False
3309,Constantinus XI PALAEOLOGUS,Κωνσταντῖνος Δραγάσης Παλαιολόγος,Constantinus XI Palaeologus,Rhet.,15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,Argyrobulla,,,urn:cts:greekLit:tlg3309.tlg001,False
3309,Constantinus XI PALAEOLOGUS,Κωνσταντῖνος Δραγάσης Παλαιολόγος,Constantinus XI Palaeologus,Rhet.,15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,002,Chrysobulla,,,urn:cts:greekLit:tlg3309.tlg002,False
3310,NICOLAUS V,,Nicolaus V,Theol.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,Epistula ad imperatorum Romanorum Constantinum translata de voce Latina in vocem Graecam Theodoro Gazae,,,urn:cts:greekLit:tlg3310.tlg001,False
3311,CYRIACUS Anconitanus,,Cyriacus Anconitanus,Rhet.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,Ordo mensium anni Constantino Palaeologo dedicata,,,urn:cts:greekLit:tlg3311.tlg001,False
3311,CYRIACUS Anconitanus,,Cyriacus Anconitanus,Rhet.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,002,Epigramma ad Spartam pro Constantino Palaelogo in prosa Graeca translatione,,,urn:cts:greekLit:tlg3311.tlg002,False
3311,CYRIACUS Anconitanus,,Cyriacus Anconitanus,Rhet.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,003,Epigramma,,,urn:cts:greekLit:tlg3311.tlg003,False
3312,Thomas PALAEOLOGUS,,Thomas Palaeologus,Rhet.,,tlg:post-e;bcdavasconcelos,001,Argyrobulla,,,urn:cts:greekLit:tlg3312.tlg001,False
3313,Theodorus I PALAEOLOGUS,,Theodorus I Palaeologus,Rhet.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,Epistula ad Amadaeum Sabaudicum,,,urn:cts:greekLit:tlg3313.tlg001,False
